zipcode,population
8096,108348
45211,108333
61701,108315
6611,108273
75071,108270
70769,108252
95062,108237
95993,108201
33135,108198
85018,108195
28403,108189
85260,108168
60030,108168
21014,108141
91362,108135
75154,108123
75024,108117
72450,108099
33418,108051
21401,108036
89183,108015
78412,108009
98036,108000
78221,107970
78665,107955
61704,107943
77506,107931
23453,107880
33183,107847
7017,107835
49503,107820
33437,107814
95835,107808
95050,107769
60563,107766
30084,107763
98026,107763
60621,107736
23323,107718
54313,107691
77477,107691
7109,107691
77035,107688
80004,107676
46037,107673
11217,107643
19083,107634
99508,107571
50315,107559
62521,107553
29412,107550
33914,107544
32811,107475
88310,107328
11787,107316
84790,107310
36301,107277
89102,107277
63385,107250
2184,107232
730,107226
80909,107217
38671,107136
91711,107115
19063,107112
85756,107109
46902,107091
30115,107016
89128,107007
77571,106998
20032,106959
53051,106953
55987,106887
84401,106866
84088,106809
85339,106758
28412,106719
31705,106695
77489,106662
23220,106635
85203,106623
76522,106602
92821,106599
36330,106590
48239,106572
17404,106551
24401,106497
43201,106485
33604,106455
82001,106452
90049,106446
66048,106425
49507,106377
37209,106371
28117,106362
93405,106320
63010,106317
40291,106281
20735,106263
94590,106260
92065,106242
51501,106218
53211,106218
2130,106203
95476,106182
76106,106167
80003,106152
55423,106125
33317,106116
77382,106107
71360,106083
7024,106059
93612,106053
73170,106029
72762,106026
32707,106005
75077,105990
77065,105978
77469,105963
11566,105963
85392,105930
6040,105918
1545,105897
44601,105882
21701,105879
90277,105879
40391,105786
33141,105747
77471,105723
98908,105720
19128,105717
44094,105702
37076,105690
40517,105681
53188,105585
31909,105531
11722,105531
72143,105507
627,105477
90621,105459
29615,105453
53207,105447
90266,105405
45373,105393
19013,105390
92139,105375
2150,105372
78232,105360
19146,105339
60046,105333
19709,105321
32817,105315
12590,105306
46224,105282
75063,105270
70458,105231
30269,105207
79904,105180
33056,105177
38018,105177
30161,105174
19047,105168
19901,105165
20785,105156
12401,105120
30014,105111
27612,105084
72023,105078
55082,105072
34746,105066
85143,105045
76706,105045
92508,105000
93657,104997
80128,104964
11378,104943
97222,104937
77381,104883
75068,104802
28052,104796
73401,104781
90260,104772
738,104766
78573,104670
46033,104667
91321,104646
11412,104646
58201,104640
37207,104640
32216,104628
53132,104589
6053,104589
34203,104586
32714,104586
94583,104577
95128,104508
20901,104496
46220,104490
29407,104481
73120,104472
11379,104463
71106,104442
70508,104430
99206,104406
92660,104391
91739,104382
77073,104370
48035,104364
61401,104364
77024,104325
85208,104286
52722,104262
64801,104259
30350,104220
95691,104211
92675,104193
85635,104181
53214,104175
92240,104166
28214,104163
30238,104139
46060,104124
15701,104112
31602,104106
23231,104055
1604,104031
63901,103995
68104,103992
18951,103953
76248,103941
80916,103920
93561,103890
32780,103884
93012,103851
21244,103833
83440,103830
